"","ASV_ID","portal_id","perc_id","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","eval","bit_score"
"1",1,"Purli1",100,170,0,0,1,170,374,543,9.84e-88,315
"3",2,"Melbi2",91.558,154,12,1,1,153,322,475,1.18e-56,211
"5",9,"Melbi2",85.256,156,18,5,1,153,322,475,5.61e-40,156
"7",12,"Trias1",100,179,0,0,1,179,337,515,1.05e-92,331
"8",12,"Triasper1",100,179,0,0,1,179,337,515,1.05e-92,331
"64",16,"Acema1",92.81,153,11,0,1,153,431,583,5.45e-60,222
"65",27,"Melbi2",92.949,156,9,2,1,156,322,475,4.31e-61,226
"67",39,"Amore1",80.986,142,19,8,1,140,422,557,5.85e-25,106
"68",42,"Melbi2",89.116,147,13,3,1,146,322,466,3.38e-47,180
"69",48,"Melbi2",90.728,151,7,6,1,148,322,468,1.21e-51,195
"71",50,"Claim1",85.641,195,15,11,1,189,363,550,5.41e-51,193
"72",56,"Purli1",88.571,175,10,7,1,170,374,543,2.22e-54,204
"75",62,"Melbi2",91.72,157,7,6,1,154,322,475,3.3e-57,213
"77",73,"Psever1",94.34,159,6,3,1,156,339,497,1.54e-65,241
"78",74,"Ganleu1",95.146,206,5,5,1,203,357,560,2.57e-89,320
"79",79,"Amore1",85.526,152,18,4,1,150,422,571,5.48e-40,156
"80",85,"Melbi2",95.455,154,6,1,1,153,322,475,1.16e-66,244
"82",89,"Claim1",83.163,196,19,10,1,190,363,550,3.3e-43,167
"83",94,"Trigam1",99.454,183,1,0,1,183,340,522,2.95e-93,333
"141",97,"Melbi2",90.446,157,12,3,1,157,322,475,2.03e-54,204
"143",114,"Trimi1",96.571,175,4,2,1,173,375,549,6.08e-80,289
"200",118,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"203",147,"Tripra1",80.233,172,28,6,1,169,385,553,1.77e-30,124
"204",152,"Amore1",90.511,137,11,2,1,136,422,557,3.25e-47,180
"206",155,"Hyafin1",84.507,142,18,4,1,141,417,555,2.08e-34,137
"208",160,"Metbr1",100,185,0,0,1,185,298,482,4.96e-96,342
"209",160,"Metgui1",100,185,0,0,1,185,298,482,4.96e-96,342
"211",169,"Ocuya1",83.125,160,18,9,1,154,426,582,2.05e-34,137
"212",171,"Pgra17411_1",86.538,156,19,2,1,155,337,491,2.18e-44,171
"275",179,"Melbi2",91.724,145,9,3,1,142,322,466,8.91e-53,198
"278",182,"Dacma1",92.169,166,10,3,1,165,291,454,1.03e-62,231
"283",189,"Melbi2",91.558,154,11,2,1,152,322,475,1.17e-56,211
"286",203,"Hyafin1",83.803,142,19,4,1,141,417,555,9.66e-33,132
"288",209,"Triveli1",98.333,180,2,1,1,179,367,546,1.04e-87,315
"289",209,"Trivel1",98.333,180,2,1,1,179,367,546,1.04e-87,315
"346",210,"Metal1",80.513,195,25,8,1,182,430,624,2.57e-34,137
"347",223,"Melbi2",92.949,156,8,3,1,155,322,475,1.54e-60,224
"349",229,"Psever1",84.472,161,18,6,1,156,339,497,7.41e-39,152
"350",230,"Pengl1",97.619,168,2,1,1,166,337,504,2.09e-79,287
"438",233,"Claim1",85.128,195,15,12,1,188,363,550,2.5e-49,187
"439",246,"Metma1",80.978,184,22,10,9,189,331,504,3.43e-33,134
"442",248,"Melbi2",92.857,154,9,2,1,152,322,475,5.41e-60,222
"445",283,"Theglo1",82.353,153,26,1,1,152,323,475,2.74e-33,134
"446",295,"Hyafin1",98.039,153,2,1,1,153,417,568,8.93e-73,265
"448",303,"Amore1",84.967,153,17,6,1,150,422,571,2.55e-38,150
"449",310,"Hyafin1",86.538,156,15,6,1,154,417,568,2.61e-43,167
"451",317,"Melbi2",89.61,154,16,0,1,154,322,475,3.33e-52,196
"452",317,"Hyafin1",89.61,154,14,2,1,154,417,568,1.2e-51,195
